125584 ,Бильярд  седьмая  луза ,нет ,бар , "город  Москва ,  Соколово-Мещерская  улица ,  дом  16/114 " ,25
140329 ,Пивная  фон  Вакано ,нет ,бар , "город  Москва ,  Родионовская  улица ,  дом  10 ,  корпус  1 " ,25
158118 ,Гастробар  «Наше  Место» ,нет ,кафе , "город  Москва ,  улица  Соловьиная  Роща ,  дом  16 " ,26
106196 ,Бар  «ПОПКОРН» ,нет ,бар , "город  Москва ,  микрорайон  Северное  Чертаново ,  дом  1А " ,0
143520 ,Магазин-Бар  «Бирстон» ,нет ,бар , "город  Москва ,  1-й  Нагатинский  проезд ,  дом  11 ,  корпус  2 " ,19
137474 ,ГЕРОИ ,нет ,бар , "город  Москва ,  Трубная  улица ,  дом  21 " ,40
20515 ,Лобби-бар  «Аквамарин» ,нет ,бар , "город  Москва ,  Озерковская  набережная ,  дом  26 " ,120
20719 ,Ирландский  паб  «Моллиc» ,нет ,бар , "город  Москва ,  Мясницкая  улица ,  дом  13 ,  строение  3 " ,120
77869 ,Кафе  «Наш  бараш» ,нет ,ресторан , "город  Москва ,  поселение  Десеновское ,  Армейская  улица ,  дом  1 " ,60
84286 ,WOODWOOD  PIZZA  &BURGERS ,нет ,бар , "город  Москва ,  поселение  Краснопахорское ,  село  Красная  Пахра ,  дом  2 " ,35
149766 ,Суши  бар  Sushi  Club ,нет ,кафе , "город  Москва ,  город  Московский ,  3-й  микрорайон ,  дом  12 " ,14
149891 ,Пивбар  у  бобра ,нет ,бар , "город  Москва ,  поселение  Сосенское ,  посёлок  Коммунарка ,  улица  Липовый  Парк ,  дом  5 ,  корпус  1 " ,20
149688 ,Бир  Лофт ,нет ,бар , "город  Москва ,  улица  Мнёвники ,  дом  23 " ,50
137553 ,Кальянная  Mr.  Mishka ,нет ,бар , "город  Москва ,  улица  Сретенка ,  дом  27 ,  строение  1 " ,30
135828 ,Арт-кальянная  Shishasity ,нет ,бар , "город  Москва ,  Колокольников  переулок ,  дом  22 ,  строение  5 " ,30
74793 ,Бостон  Пати  Паб ,нет ,бар , "город  Москва ,  улица  Рождественка ,  дом  6/9/20 ,  строение  1 " ,64
143265 ,Рюмочная ,нет ,бар , "город  Москва ,  улица  Рождественка ,  дом  6/9/20 ,  строение  1 " ,65
25970 ,Бюргер ,нет ,бар , "город  Москва ,  Докучаев  переулок ,  дом  6 ,  строение  2 " ,60
20449 ,Буфет ,нет ,бар , "город  Москва ,  Большая  Никитская  улица ,  дом  19/13 ,  строение  1 " ,26
26834 ,Винный  кофейный  бар  45 ,нет ,бар , "город  Москва ,  Гоголевский  бульвар ,  дом  17 ,  строение  1 " ,20
124969 ,Попкорн  Бар ,нет ,бар , "город  Москва ,  улица  Бахрушина ,  дом  25 " ,12
20307 ,бар  «Центральный» ,нет ,бар , "город  Москва ,  улица  Бахрушина ,  дом  25 " ,30
20433 ,Бар  ЛОББИ  гостиницы  Балчуг ,нет ,бар , "город  Москва ,  улица  Балчуг ,  дом  1 " ,50
140811 ,Бар ,нет ,бар , "город  Москва ,  Кожевническая  улица ,  дом  15 ,  строение  1 " ,35
26909 ,ВИНО  и  СЫР  кафе-бар ,нет ,кафе , "город  Москва ,  Кожевническая  улица ,  дом  11/13 ,  строение  1 " ,80
74923 ,Бага  Бар ,нет ,бар , "город  Москва ,  Пятницкая  улица ,  дом  25 ,  строение  1 " ,280
154568 ,BottomsUp ,нет ,бар , "город  Москва ,  Пятницкая  улица ,  дом  29 " ,50
141369 ,Будвайзер  Бар ,нет ,бар , "город  Москва ,  Люсиновская  улица ,  дом  9 " ,80
148869 ,Блэк  Харп ,нет ,бар , "город  Москва ,  Пятницкая  улица ,  дом  14 ,  строение  6 " ,50
23918 ,SFC11 ,нет ,бар , "город  Москва ,  улица  Обручева ,  дом  11 " ,36
20481 ,Аврора  (закрытое) ,нет ,бар , "город  Москва ,  улица  Большая  Якиманка ,  дом  24 " ,102
134237 ,Другой  Бар ,нет ,бар , "город  Москва ,  Азовская  улица ,  дом  18 " ,55
